query,category,strategy,expected_namespace,detected_namespace,namespace_correct,avg_score,max_score,min_score,std_score,num_results,unique_docs,doc_types,namespaces,precision,recall,accuracy,relevant_retrieved,total_relevant
איך מזמינים פעילויות ספורט או מתקנים כמו מגרשי כדורסל או כדורגל?,general,adaptive,general,general,True,0.45385056859999995,0.502676249,0.415517539,0.03833537283206146,5,5,"{""general_info"": 1, ""pdf"": 3, ""event"": 1}","{""general"": 5}",0.0,0.0,0.0,0,3
"איך מקבלים מידע על תרבות, מופעים, וסדנאות בעיר?",general,baseline,culture,culture,True,0.3789787472,0.487436444,0.30841282,0.07392315091511564,5,5,"{""event"": 5}","{""culture"": 5}",0.0,0.0,0.0,0,3
"איך מקבלים מידע על תרבות, מופעים, וסדנאות בעיר?",general,sentence,culture,culture,True,0.42479691519999996,0.511739433,0.38474682,0.046778120176358316,5,5,"{""event"": 5}","{""culture"": 5}",0.6,1.0,0.6,3,3
"איך מקבלים מידע על תרבות, מופעים, וסדנאות בעיר?",general,adaptive,culture,culture,True,0.4033581316,0.475177258,0.363922894,0.040182816097632044,5,4,"{""pdf"": 2, ""event"": 3}","{""culture"": 5}",0.4,0.6666666666666666,0.4,2,3
מה העיר חיפה מציעה למבקרים בה?,general,baseline,general,general,True,0.205101838,0.222962782,0.184073538,0.01603366110709873,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
מה העיר חיפה מציעה למבקרים בה?,general,sentence,general,general,True,0.4625086369999999,0.500019908,0.450648785,0.01894553110920797,5,5,"{""general_info"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
מה העיר חיפה מציעה למבקרים בה?,general,adaptive,general,general,True,0.6041420488,0.630452931,0.591334,0.015119960002798905,5,2,"{""pdf"": 5}","{""general"": 5}",0.6,1.0,0.6,3,3
"מה תפקידי הנהלת העיר, קשרי חוץ ופנים?",general,baseline,general,general,True,0.1660620171,0.277817845,0.0993439183,0.07951743376892467,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
"מה תפקידי הנהלת העיר, קשרי חוץ ופנים?",general,sentence,general,general,True,0.5036926388,0.559870362,0.424805671,0.056055987738875344,5,4,"{""event"": 1, ""general_info"": 4}","{""general"": 5}",0.2,0.3333333333333333,0.2,1,3
"מה תפקידי הנהלת העיר, קשרי חוץ ופנים?",general,adaptive,general,general,True,0.6114022136,0.640782714,0.60063535,0.015111778431953701,5,2,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
מה תכניות העבודה לשנת 2025 של העיר חיפה?,general,baseline,general,general,True,0.23405511166666668,0.446979195,0.126820847,0.1505613834418085,3,3,"{""general_info"": 3}","{""general"": 3}",0.0,0.0,0.0,0,3
מה תכניות העבודה לשנת 2025 של העיר חיפה?,general,sentence,general,general,True,0.40342860199999997,0.425348282,0.388013452,0.017571998869821522,5,5,"{""general_info"": 5}","{""general"": 5}",0.2,0.3333333333333333,0.2,1,3
מה תכניות העבודה לשנת 2025 של העיר חיפה?,general,adaptive,general,general,True,0.5656465768000001,0.586061418,0.555817187,0.010509003997486128,5,3,"{""pdf"": 5}","{""general"": 5}",0.0,0.0,0.0,0,3
